--a, --b, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
0.65, 0.05, 0.14, 0.2272568490794343, 0.008025839936363074
0.65, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.65, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.65, 0.2, 0.1385714285714286, 0.2399874918983596, 0.007948439762865495
0.65, 0.25, 0.14, 0.24951130142216915, 0.008008087839215033
0.65, 0.30000000000000004, 0.14, 0.24316209507296277, 0.00800821050660603
0.65, 0.35000000000000003, 0.12285714285714285, 0.2589801796101485, 0.007017719153913741
0.65, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.65, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.65, 0.5, 0.12142857142857143, 0.23078928186868894, 0.007037270785446273
0.65, 0.55, 0.11571428571428571, 0.22720519497156066, 0.00668714351006321
0.65, 0.6000000000000001, 0.11142857142857143, 0.22435882229529266, 0.0064189794155582935
0.65, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.65, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.65, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.65, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.65, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.65, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.65, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.65, 1.0, 0.11142857142857142, 0.2431738698454132, 0.006286469114769947
0.7000000000000001, 0.0, 0.15428571428571425, 0.29141269323527846, 0.008614418527775237
0.7000000000000001, 0.05, 0.14, 0.2272568490794343, 0.008025839936363074
0.7000000000000001, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.7000000000000001, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.7000000000000001, 0.2, 0.1385714285714286, 0.2399874918983596, 0.007948439762865495
0.7000000000000001, 0.25, 0.14, 0.24951130142216915, 0.008008087839215033
0.7000000000000001, 0.30000000000000004, 0.14, 0.24316209507296277, 0.00800821050660603
0.7000000000000001, 0.35000000000000003, 0.12285714285714285, 0.2589801796101485, 0.007017844990411862
0.7000000000000001, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.7000000000000001, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.7000000000000001, 0.5, 0.12142857142857143, 0.23078928186868894, 0.007037270785446273
0.7000000000000001, 0.55, 0.11571428571428571, 0.22720519497156066, 0.00668714351006321
0.7000000000000001, 0.6000000000000001, 0.11142857142857143, 0.22435882229529266, 0.0064189794155582935
0.7000000000000001, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.7000000000000001, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.7000000000000001, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.7000000000000001, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167544182982655
